String,CMC,pCMC,Temperature,Class
CCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],0.00327,-0.5145477526602861,25.0,Anionic
CCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],0.00512,-0.7092699609758307,25.0,Anionic
CCCCCCCCCCCCOCCOCCOCCO,5.2e-05,1.2839966563652008,25.0,Nonionic
CC(C(C(C(CCCOOOC)(F)F)(F)F)(F)F)(F)F,0.007998342550070283,-0.903,25.0,Nonionic
CCCCCCCCC(=O)OC1C(C(C(C(O1)CO)O)O)O,0.0015995580286146689,-0.20400000000000001,25.0,Nonionic
CCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,0.00085,0.07058107428570727,25.0,Nonionic
CCCCC(CCCCC)OC1C(C(C(C(O1)CO)O)O)O,0.015,-1.1760912590556813,25.0,Nonionic
CCCCCCCC(CC)OC1C(C(C(C(O1)CO)O)O)O,0.0085,-0.9294189257142927,25.0,Nonionic
CCCCCCCCC(C)OC1C(C(C(C(O1)CO)O)O)O,0.0045,-0.6532125137753437,25.0,Nonionic
CCCCCCC(CCC)OC1C(C(C(C(O1)CO)O)O)O,0.012,-1.0791812460476249,25.0,Nonionic
CC(C)CCCC(C)CCOC1OC(CO)C(O)C(O)C1O,0.004,-0.6020599913279624,25.0,Nonionic
CCCCCCCCCCC(C(=O)[O-])C(=O)[O-].[K+].[K+],0.13,-2.113943352306837,25.0,Anionic
CCCCCCCCC=CCCCCCCCC(=O)[O-].[K+],0.0008,0.09691001300805639,25.0,Anionic
CCCCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+],0.003,-0.47712125471966244,20.0,Anionic
CCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,0.069,-1.8388490907372552,25.0,Nonionic
CCCCCCCCCCCC[N+](C)(C)CC.[Br-],0.014,-1.146128035678238,25.0,Cationic
CCCCCCOCCOCCOCCOCCOCCO,0.09616122783836646,-1.9829999999999999,25.0,Nonionic
CCCCCCCCCCOCCOCC[N+](C)(C)C.[Cl-],0.023,-1.3617278360175928,25.0,Cationic
CCCCCCCCC(CC)OS(=O)(=O)[O-].C[N+](C)(C)C,0.0055,-0.7403626894942439,25.0,Anionic
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[NH4+],0.0036,-0.5563025007672873,25.0,Anionic
CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],2e-05,1.6989700043360187,23.0,Zwitterionic
CCCCCCCCCCCC[N+](C)(C)CCCCCC(=O)[O-],0.0026,-0.414973347970818,25.0,Zwitterionic
CCCCCCCCCCCCOCC[N+]1=CC=CC=C1.[Cl-],0.0058,-0.7634279935629373,25.0,Cationic
CCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],0.0115,-1.0606978403536118,25.0,Cationic
CCCCCCCCCC(=O)OCCCCS(=O)(=O)[O-].[Na+],0.0121,-1.08278537031645,20.0,Anionic
CCCCCCCCCCC(=O)OCCCS(=O)(=O)[O-].[Na+],0.00885,-0.9469432706978254,20.0,Anionic
CCCCCCCCCCCC(=O)OCCS(=O)(=O)[O-].[Na+],0.0066,-0.8195439355418687,20.0,Anionic
CCCCOC(=O)CC(S(=O)(=O)[O-].[Na+])C(=O)OCCCC,0.2,-2.3010299956639813,25.0,Anionic
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],0.0039,-0.5910646070264992,25.0,Anionic
CCCCCCCCCCOCCOCCOCCOCCO,0.00064,0.1938200260161128,20.0,Nonionic
CCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,0.0214,-1.3304137733491908,25.0,Nonionic
CCCCCCCCCCCC(=O)N(CCCC)CC(=O)[O-].[Na+],0.0022400000000000002,-0.35024801833416286,25.0,Anionic
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],0.003,-0.47712125471966244,25.0,Zwitterionic
CCCCCCCCCCCCCC[N+](C)(C)CC(=O)O.[Cl-],0.00196,-0.292256071356476,23.0,Cationic
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.0036,-0.5563025007672873,25.0,Cationic
CCCCCCCCCCCC[N+](C)(C)CCC.[Br-],0.011,-1.041392685158225,25.0,Cationic
CCCCCCCCCCCCCCC(C(=O)O)S(=O)(=O)O,0.000683,0.1655792963184674,25.0,Nonionic
CCCCOCCOCCOCCOCCOCCOCCO,0.776,-2.8898617212581885,25.0,Nonionic
C(C)(C)COCCOCCOCCOCCOCCOCCO,0.91,-2.9590413923210934,20.0,Nonionic
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCCOCCO,0.000103,0.9871627752948278,25.0,Nonionic
CCCCCCCCCCCCCCCC(=O)NC1CCOC1=O,1.6e-07,3.795880017344075,25.0,Nonionic
CCCCCCCCCCCCOS(=O)(=O)[O-].C[N+](C)(C)C,0.0048,-0.6812412373755872,25.0,Anionic
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],0.0009,0.045757490560675115,25.0,Cationic
CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],0.0088,-0.9444826721501687,25.0,Cationic
CCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],0.0053,-0.724275869600789,25.0,Cationic
CCCCCCCCCCCC(=O)OCCCS(=O)(=O)[O-].[Na+],0.0048,-0.6812412373755872,20.0,Anionic
CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.00020999999999999998,0.6777807052660807,25.0,Anionic
CCCCCCC(CCCCCCCC)COS(=O)(=O)[O-].[Na+],0.00091,0.040958607678906384,25.0,Anionic
CCC(C)C(C)CCC(CC(C)C(C)C)COS(=O)(=O)[O-].[Na+],0.00335,-0.5250448070368452,25.0,Anionic
C(C(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.15,-2.1760912590556813,25.0,Nonionic
CCCCCCCCCCCCCCOCCOCCOCCO,1e-06,3.0,25.0,Nonionic
CCCCCCCCCC[N+]1=CC=CC=C1.[I-],0.0225,-1.3521825181113625,25.0,Cationic
CCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)CO,0.000363,0.4400933749638875,25.0,Nonionic
CCCCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0024,-0.38021124171160603,25.0,Nonionic
CCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.0011899999999999999,-0.07554696139253074,25.0,Nonionic
CCCCCCCCCC(CC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.00146,-0.1643528557844371,25.0,Nonionic
CCCCCCCCC(CCC)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],0.00159,-0.2013971243204515,25.0,Nonionic
CCCCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,0.00019,0.721246399047171,25.0,Nonionic
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[K+],0.0036,-0.5563025007672873,25.0,Anionic
